Project ID,Project Leader,Project Title,Fellowship recipient,Fellowshiptype
DP0208165,"McFadden, G",Post-genomic investigation of the relict plastid and mitochondrion of malaria parasites,Dr GI McFadden,APF
DP0208167,"MacDougall, D",Visual Research in Social Aesthetics,Mr DC MacDougall,APF
DP0208176,"Bodorkos, S","Role of Crustal Processes in Archaean Cratonisation: A Case Study from the East Pilbara Granite-Greenstone Terrain, W.A.",Mr S Bodorkos,APD
DP0208178,"Noormohammadi, A",The Role of High-Frequency Antigenic Variation in The Pathogenesis of Mycoplasma infection,Dr A Noormohammadi,APD
DP0208238,"McKay, B",Practical and theoretical aspects of structure enumeration,Prof BD McKay,APF
DP0208241,"Taylor, F",Antarctic marine diatoms: Key to predicting the effects of global climate change on a temperature-sensitive ecosystem.,Dr F Taylor,APD
DP0208246,"Shine, R",Evolutionary ecology of snakes and lizards,Prof R Shine,APF
DP0208252,"Yeo, R",A Cultural History of Information: Lessons from the Enlightenment ,A/Prof RR Yeo,APF
DP0208266,"Jolliffe, K",Backbone Modified Cyclic Peptides: Scaffolds for Supramolecular Chemistry,Dr KA Jolliffe,QEII
DP0208296,"Hall, P",NONPARAMETRIC STATISTICS,Prof PG Hall,APF
DP0208323,"Brugger, J",Transport of metals in vapours and brines: new insights into the formation of the Earth's mineral deposits,Dr J Brugger,QEII
DP0208330,"Bray, I",Atomic Collision Theory.,Prof I Bray,APF
DP0208348,"Bulbeck, F",The contribution of South Asia to the peopling of Australasia,Dr FD Bulbeck,ARF
DP0208352,"Logan, W",UNESCO - Agency of Cultural Globalisation? Analysis of the Conflict between Universal Values and Local Cultural Identity in the Asia-Pacific Region,Dr A Smith,APD
DP0208352,"Logan, W",UNESCO - Agency of Cultural Globalisation? Analysis of the Conflict between Universal Values and Local Cultural Identity in the Asia-Pacific Region,Mr CD Long,APD
DP0208409,"Lay, P",The Chemistry and Biochemistry of Chromium: Cancer and Nutrition,Prof PA Lay,APF
DP0208414,"Davis, T",Design of Novel Polymer Micro-Porous Coatings,Prof TP Davis,APF
DP0208520,"Senden, T",Dynamic Force Microscopy of small molecular assemblies.,Dr TJ Senden,ARF
DP0208523,"Allon, M","The edition, translation, and study of the newly discovered Senior collection of Buddhist manuscripts from ancient Gandhara",Dr MW Allon,ARF
DP0208534,"Bryant, D",Mutagenesis and combinatorial algorithms for sequencing problematic genomic regions.,Dr DE Bryant,QEII
DP0208535,"Phillips, D",Molecular basis for the synergistic potentiation of anthracycline anticancer agents by formaldehyde-releasing prodrugs.,Dr SM Cutts,ARF
DP0208553,"Davoren, J","Mathematical, logical and computational foundations of hybrid control systems, and their application to design and synthesis problems in control engineering",Dr T Moor,APD
DP0208577,"Zhang, L",Mechanical Characterization of Carbon Nanotubes,Dr K Xiao,APD
DP0208605,"Chivas, A",Climate dynamics of the Australian monsoon and its re-establishment following the last glacial maximum ,Dr D Cendon,APD
DP0208686,"Byrne, P",The evolution of sequential polyandry: An experimental approach,Dr PG Byrne,APD
DP0208691,"Barr, M","Nation Building and Elite Formation in Singapore, 1966-85",Dr MD Barr,APD
DP0208743,"Nugent, K",Non-Interferometric Phase Measurement of Exotic Waves,Dr DJ Paterson,APD
DP0208758,"Rubatto, D",Rates of metamorphic processes - correlating U-Pb ages with the pressure-temperature conditions of mineral growth,Dr D Rubatto,APD
DP0208759,"Frydenberg, E",Developing Coping Skills: Following young people through the transition from primary to secondary schooling,Ms E Cunningham,APD
DP0208794,"Considine, M",Fostering Innovation Inside Government: The Role of Structural and Personal Networks in Improving Innovation Performance Among Politicians and Bureaucrats.,A/Prof M Considine,APF
DP0208797,"Sircombe, K",Integrated provenance analysis: towards better ways of interpreting the source of ancient sediments,Dr KN Sircombe,APD
DP0208806,"Collings, D",Molecular and Cellular Characterisations of the Cortical Actin Cytoskeleton in the Plant Arabidopsis thaliana,Dr DA Collings,ARF
DP0208824,"Sim, R","The Sir Edward Pellew Group of Islands, Gulf of Carpentaria Archaeological Project",Dr R Sim,APD
DP0208831,"Anderson, A",Understanding the early phases of Neolithic dispersal in the western Pacific.,Dr J Stevenson,APD
DP0208837,"McLaren, S",Argon thermochronometers and the effects of recrystallization,Dr SN McLaren,APD
DP0208841,"Krishnamurthy, V",Stochastic Sensor Scheduling in Statistical Signal Processing,Prof V Krishnamurthy,APF
DP0208861,"Broomhall, S",Gender and the Production of Early Modern French Medicine,Dr SM Broomhall,APD
DP0208911,"Haebich, A",Imagining Assimilation. The Australian Experience,Dr A Haebich,QEII
DP0208952,"Coote, M","Hydrogen Abstraction in Chemical, Biochemical and Polymerization Processes",Dr ML Coote,APD
DP0208955,"Fisher, D",Why do females mate with multiple partners? Tests of key hypotheses in the wild.,Dr DO Fisher,APD
DP0208976,"Smith, K",Realising the promise of neural networks for practical optimisation: improving their efficiency and effectivess through chaotic dynamics and hardware implementation,Mr T Kwok,APD
DP0208998,"Rizos, C",Integrated GPS and interferometric SAR techniques for ground subsidence monitoring ,Dr L Ge,APD
DP0209041,"Worsley, A",Examination of consumers' and food industry's use and views of plant-based food products,Ms E Lea,APD
DP0209045,"Blau, S","Nomadic or sedentary? Determining lifestyle and subsistence of past populations in Central Asia using osteological, bone chemical and genetic techniques",Dr S Blau,APD
DP0209069,"Toner, P",Yolngu Music: Anthropological and Indigenous Perspectives,Mr PG Toner,APD
DP0209075,"Mathesius, U","Proteome Analysis of Plant Response Pathways to Microbial Signals in the Model Legume, Medicago truncatula",Dr U Mathesius,APD
DP0209099,"Thompson, G",Evolutionary genetics of kin recognition and task specialization in termite societies,Dr GJ Thompson,APD
DP0209136,"Ulrich, T",The hydrothermal solubility of molybdenum: A LA-ICPMS study of synthetic and natural fluid inclusions,Dr T Ulrich,APD
DP0209181,"Craig, V","Surface adsorption, repulsion and attraction: A new experimental approach to surface forces",Dr VS Craig,ARF
DP0209193,"Suthers, I",Development of a mechanistic model of marine biological activity,Dr ME Baird,APD
DP0209211,"Day, D","FUNCTIONAL GENOMICS OF PLANT MITOCHONDRIA: THEIR ROLE IN DEVELOPMENT, OXIDATIVE STRESS AND PLANT DEFENSE.",Dr AH Millar,ARF
DP0209221,"Oxley, M",Atom Location by Channelling Enhanced Microanalysis using Inner-shell  Electron Energy Loss Spectroscopy,Dr MP Oxley,APD
DP0209259,"Blows, M",Mapping Speciation Genes,Dr MW Blows,QEII
DP0209268,"Seron, M",Constrained Receding Horizon Control of Nonlinear Systems,Dr MM Seron,ARF
DP0209308,"Swadling, K",Partitioning of primary production by crustacean grazers in the Antarctic sea ice zone,Dr KM Swadling,APD
DP0209313,"Srivastava, S","Television, globalisation and social change in India",Dr K Jain,APD
DP0209383,"Golding, S","Stable isotopic studies and isotopic dating, Woodleigh Impact Structure, Western Australia: implications for the Late Devonian mass extinction",Dr IT Uysal,APD
DP0209425,"Liu, J",Mechanism and Control of In-situ Minerals Extraction,Dr J Liu,ARF
DP0209444,"Edwards, P","GENDER IDEOLOGY,  RACIAL MYTHOLOGY AND THE CULTURAL POLITICS OF CHILD REMOVAL IN COLONIAL BURMA, CAMBODIA AND WESTERN AUSTRALIA, 1886-1947",Dr P Edwards,APD
DP0209461,"Powell, R",Partial melting. granulite facies metamorphism and the evolution of the continental crust,Dr RW White,APD
DP0209466,"Koopman, P",MOLECULAR GENETICS OF MAMMALIAN SEXUAL DEVELOPMENT: Molecular roles of SRY and SOX9,Prof PA Koopman,APF
DP0209487,"Qin, Q",Thermo-electro-chemo-mechanical properties of biological systems,Dr QH Qin,APF
DP0209501,"Bakharev, T",DEVELOPMENT OF SCIENTIFIC AND EXPERIMENTAL BASIS FOR MANUFACTURE OF BUILDING MATERIALS WITH SPECIAL PROPERTIES BASED ON GEOPOLYMERS,Mrs T Bakharev,APD
DP0209504,"Tan, P",Micro-electromechanics and finite element analysis models for adaptive structures,Dr PP Tan,APD
DP0209507,"Hughes, T",Biodiversity of coral reefs,Dr A Baird,APD
DP0209514,"Brett, J",Understanding a Changing Australia,Dr A Moran,APD
DP0209526,"Ridd, P","Submarine springs in the Great Barrier Reef Lagoon: the geological origin, physical properties and ecological significance of Wonky Holes",Mr TC Stieglitz,APD
DP0209540,"Horvath, R",Ascending the Cross: Soviet Dissidents and the Universalisation of Human Rights,Dr RG Horvath,APD
DP0209550,"Del Favero, D",The reformulation of narrative within digital cinema as the integration of three models of interactivity.,Dr D Del Favero,APD
DP0209553,"de Medeiros Azevedo, G",Revealing the mechanism of heavy ion stopping at high energies,Dr G de Medeiros Azevedo,APD
DP0209590,"Rechnitzer, A",Key combinatorial problems in lattice statistical mechanics,Mr AD Rechnitzer,APD
DP0209664,"Kim, J",Determinants of Audio-Visual effects in degraded and non-degraded speech,Dr J Kim,APD
DP0209729,"Swan, P","Illiquidity, momentum traders, incentives, and book to market: explaining and testing the factor drivers of stock market returns",Prof PL Swan,APF
DP0209733,"Corney, J",Quantum dynamics of Bose-Einstein condensates of atoms and molecules,Dr JF Corney,APD
DP0209734,"Cook, H","Emotional Behaviour in England, 1930-1980",Dr H Cook,APD
DP0209754,"Wood, P",Coping With Pressure: Respiratory Biology of Marine Mammals,Dr P Wood,APD
DP0209756,"Jones, S",Quantifying Uncertainty in Predictions of Global Change,Dr SD Jones,APD
DP0209802,"Santini, J",Novel mechanisms of bacterial arsenic metabolism - arsenate reduction and arsenite oxidation,Dr JM Santini,APD
DP0209919,"BRADFORD, M",Analysis and behaviour of members curved spatially in-plane,Prof MA BRADFORD,APF
DP0209966,"Ireland, R","The religious factor and trends in civil society under conditions of globalisation in Australia, the U.S.A. and Brazil",Dr G Ottmann,APD
DP0209968,"Hellstrom, J",Precise constraints on the timing and nature of late Quaternary glacial-interglacial climatic transitions in the Southwest Pacific region,Dr JC Hellstrom,APD
DP0210019,"Agastya, M",Strategic Thought and Prediction in Strategic Environments,Dr M Agastya,ARF
DP0210021,"Dooley, A",Group orbits in garmonic analysis and ergodic theory.,Dr G Mortiss,APD
DP0210062,"Stevenson, D",Higher Line Bundles in Geometry and Physics,Dr DC Stevenson,APD
DP0210065,"Lu, G",Novel Nanostructures of Metal Oxides and Sulfides Intercalated Laponite for Catalytic Applications ,Mr Z Han,APD
DP0210086,"Legge, S",Ecology and phylogeography of bird migration between Australia and New Guinea: paradise kingfishers as a model species,Dr S Legge,APD
DP0210087,"Tuthill, P",Imaging circumstellar matter at high resolution,Dr PG Tuthill,ARF
DP0210121,"Luiten, A","Worldwide Collaboration for the Creation of New Frequency Standards, and their Application to testing the Foundations of Physics",Mr J Winterflood,APD
DP0210125,"Labutin, D","Nonlinear Partial Differential Equations: Singularities, Potential Theory, and Geometric Applications",Dr D Labutin,APD
DP0210140,"Smith, B","Aboriginal outcomes from land claims, transfers and purchases in central Cape York Peninsula.",Mr B Smith,APD
DP0210178,"Gray, D","Obduction, lithospheric flexure and basin formation",A/Prof DR Gray,APF
DP0210196,"Kemp, D",Life history constraints on sexual selection: an investigation using territoriality in butterflies,Mr D Kemp,APD
DP0210205,"Jennings, M",Molecular mechanisms of pilin glycosylation in Neisseria: a model system for protein glycosylation in bacteria.,Dr M Dieckelmann,APD
DP0210226,"Dai, Q",Electrochemical Applications of Plastic Crystalline Electrolytes,Dr Q Dai,APD
DP0210229,"McKay, J","Cost-effective integrated engineering and ""community partnerships"" solution to a latent water policy issue: private dam management and flood safety",Dr JD Pisaniello,APD
DP0210230,"Corran, R","Braid monoids, presentations and normal forms.",Dr RA Corran,APD
DP0210269,"Woodland, A",International Trade Policy and the Dynamics of Open Economies,Prof AD Woodland,APF
DP0210281,"Haynes, B",Carbon surface oxides: the key to understanding the chemical rate of carbon combustion,Dr K Sendt,APD
DP0210492,"Fryirs, K",River sensitivity to change: An assessment of threshold shifts between River Styles in Coastal NSW.,Ms K Fryirs,APD
DP0210494,"Johnson, S",A Pan African-aged suture zone in western Madagascar: Tracking the lost Mozambique Ocean.,Dr SP Johnson,APD
DP0210510,"Kiernander, A","Marking Masculinity in Australian Theatre, 1955-70 and 1985-2000: a movement-based analysis of performed masculinities in historical and cultural contexts.",Dr J Bollen,APD
DP0210512,"Rychkov, G",Regulatory mechanisms for calcium release-activated calcium channels,Dr GY Rychkov,ARF
DP0210561,"Stamps, R",Time and frequency resolved magnetometry,Mr RC Woodward,APD
DP0210598,"Fairlie, D",Macrocyclic Peptidomimetics,A/Prof DP Fairlie,APF
DP0210609,"Clifford, C",Processing and Awareness in Dynamic Vision,Dr C Clifford,QEII
DP0210644,"Smith, V",Gifts of Friendship: intimacy and exchange in cross-cultural contact,Dr VJ Smith,QEII
DP0210651,"Burrow, C","Australia's oldest jawed fishes: evolution, biostratigraphy and biogeography ",Mrs CJ Burrow,APD
DP0210719,"Mora, P",Crustal fault system dynamics and earthquake prediction,Mr DK Weatherley,APD
DP0210745,"Drummond, P",Computational quantum dynamics of atom lasers,Prof PD Drummond,APF
DP0210845,"Teo, H",The popular culture of romantic love in twentieth-century Australia,Dr H Teo,APD
DP0210855,"Blair, D","Experiments with Advanced Isolation Systems, Suspension and Test Masses Using ACIGA's High Optical Power Test Facility",Dr L Ju,QEII
DP0210901,"Prest, W",William Blackstone: Life and Works,Prof WR Prest,APF
DP0210903,"Waite, T", Factors influencing the bioavailability of iron in marine waters,Dr A Feitz,APD
DP0210929,"Schaefer, B",Constraining the snowball earth: timing and duration of neoproterozoic glaciations using precise Re-Os geochronology,Dr BF Schaefer,APD
DP0210962,"Williamson, T","Building and Ethics: Understanding A Corpus of Contemproary Australian Award-Winning Houses as Responses to Ecological, Social and Built Contexts",Dr H Bennetts,APD
DP0210997,"Antons, C","Traditional knowledge and intellectual property: A comparison of current approaches in Australia, Indonesia and the Philippines ",Dr C Antons,QEII
DP0211002,"Lyamin, A",Adaptive Algorithms for Lower Bound Limit Analysis,Dr AV Lyamin,APD
DP0211053,"Veitch, P",Development of modal control systems for adaptive optics,Dr MT Kelly,APD
DP0211090,"Junk, P",Studies of Group 15 complexes of the Lanthanoids and Group 2 metals-An unexploited field of research,Mr M Cole,APD
DP0211233,"Jiang, Z",Mechanics of Cold Rolling of Thin Strip,Dr ZY Jiang,ARF
DP0211238,"Wright, J","Population growth, genetic variation and adaptation in two Caulerpa species in southeastern Australia",Dr J Wright,APD
DP0211240,"Dou, S",First Principles for Development of High Temperature Superconducting Wires,Prof SX Dou,APF
DP0211245,"Wallace, G",Organic electrofunctinal materials: Novel conducting Polymer and Carbon nanotube systems,Prof GG Wallace,APF
DP0211271,"Butcher, M",Transnational Corporate relationships:Examining the Cultural Relationships within and between Australia and Asia Transnational Corporations,Dr M Butcher,APD
DP0211317,"Hjiaj, M",Limit analysis for non-associated materials,Dr M Hjiaj,APD
DP0211328,"Wang, X",Enhancement and elucidation of flux pinning in doped Bi-Sr-Ca-Cu-O high temperature superconducting single crystals,Dr XL Wang,APD
DP0211342,"Harris, I",How we recognise the orientation of objects: a combined neurophyschological / eye movement study,Ms IM Harris,APD
DP0211367,"Rennie, A",New Directions in Noncommutative Geometry.,Mr A Rennie,APD
DP0211387,"Boussaid, F",Smart CMOS Vision Sensors in Deep Sub-0.25um CMOS Technologies,Dr F Boussaid,APD
DP0211409,"Saghafi, S",Improving optical data storage and micromachining technology through better modelling and characterisation of their laser beams.,Dr S Saghafi,APD
DP0211468,"Tansley, T",Microprobing of Crystal Polarisation in Polycrystalline Compound Semiconductors,Dr KS Butcher,APD
DP0211505,"Amal, R",Doped Nanocrystalline TiO2 - Synthesis and application for photoreduction reactions,Dr D Beydoun,APD
DP0211530,"Hoffman, M",Crack Propagation within Graded Interfaces,Dr RJ Moon,APD
DP0211556,"Withford, M",Laser Micro-Fabrication of Optoelectronic Devices,Dr MJ Withford,ARF
DP0211698,"GILLAM, B",Binocular depth perception in complex visual arrays,Prof BJ GILLAM,APF
DP0211701,"Lu, J",Group Decision Support Systems for Fuzzy Multi-objective Decision Problems,Mr G Zhang,APD
DP0211731,"Burns, B",Survival stategies and dynamics of stromatolite-associated microbial populations,Dr BP Burns,APD
DP0211816,"Warren, C","Locating the Commonweal: Community, Environment and Local Governance Regimes in Reform Era Indonesia",Mr J McCarthy,APD
DP0211823,"Clancy, D","The effect of mitochondrial and nuclear-cytoplasmic variation on longevity, metabolism and stress resistance in Drosophila.",Dr DJ Clancy,APD
DP0211864,"Diezmann, C",A Longitudinal Study of the Development of Primary Students' Knowledge About the Properties of Spatially-Oriented Diagrams in Mathematics ,Dr CM Diezmann,APD
DP0211865,"Besemeres, M",Cross-Cultural Lives: a Study of Narratives by Migrants Between Languages,Dr M Besemeres,APD
DP0211866,"Yearwood, J",Mapping argumentation structures to narrative for eCommerce dialogue support,Mr J Yearwood,QEII
DP0211875,"Grice, K",Stable Carbon and Hydrogen Isotope Signatures of Chemical Fossils to Infer Palaeoenvironmental Change ,Dr K Grice,QEII
DP0211890,"Cawood, P",MACQUARIE ISLAND: A UNIQUE WINDOW INTO THE OCEAN BASEMENT AND THE LINK BETWEEN OCEAN RIDGES AND OPHIOLITES,Dr A Dijkstra,APD
DP0211950,"Ray, A",A Fundamental Study Of The Behaviour Of Clay Brick Fines In Autoclaved Calcium Silicate Based Building Products,Dr D Klimesch,APD
DP0212057,"Belz, G",Dissecting the Parameters for the Generation of Cytotoxic T Lymphocyte Immunity,Dr G Belz,QEII
DP0212061,"Verhagen, A",Identification of Proteins that Regulate Apoptosis Through Interaction With IAPS,Dr AM Verhagen,QEII
DP0212064,"Greenhalgh, C",Investigation of the biochemical and physiological functions of the negative regulator of cytokine signalling SOCS-2,Dr C Greenhalgh,APD
DP0212068,"Gaus, K",Cholesterol-dependent control of plasma membrane lipid rafts,Dr K Gaus,APD
DP0212079,"Weisinger, H",The role of omega-3 fatty acids in brain mechanisms that regulate water and salt balance,Dr H Weisinger,APD
DP0212085,"Belov, K",Monotreme immune system provides insights into their evolutionary relationships,Miss K Belov,APD
DP0342459,"Jackson, M",Problems of duality for semigroups and other algebras,Dr MG Jackson,APD
DP0342465,"Lovell, J",Wadi Rayyan and Olive Production in the Chalcolithic and Early Bronze Ages (4500-3000 BCE),Dr JL Lovell,APD
DP0342473,"Buick, I","Metamorphism, fluid flow, anatexis and the petrogenesis of peraluminous magmas: constraints from boron and lithium elemental and isotopic geochemistry",Dr IS Buick,APF
DP0342502,"Jeffrey, M",Optimising gold recovery whilst minimising cyanide and copper discharges during the processing of gold ores containing copper,Mr PL Breuer,APD
DP0342514,"McLelland, M",Local Culture/Global Space: Japanese Minority Sexualities and the Internet,Dr MJ McLelland,APD
DP0342553,"Kong, L",Intelligent and objective measurement of wool fibre diameter,Ms F She,APD
DP0342561,"Batchelor, M",The mathematics and physics of interacting systems,Prof MT Batchelor,APF
DP0342565,"Elliott, C",Pathogenicity genes of the blackleg fungal pathogen of canola,Ms C Elliott,APD
DP0342628,"Attard, P",Nanotribology and Nanorheometry: A Fundamental Study of the Dynamic Interactions of Particles and Surfaces at the Molecular Level,A/Prof P Attard,APF
DP0342639,"Broadbent, K",Power in the Union? An Examination of Women-only Unions in Japan and South Korea,Dr K Broadbent,APD
DP0342645,"Turner, J",From the inevitability of prejudice to the origins of social change: The emergence of perceived illegitimacy in intergroup relations,Prof JC Turner,APF
DP0342683,"Anderson, B",Safe Adaptive Control,Dr A Lanzon,APD
DP0342685,"Cregan, K",Biotechnology Across the Borders of Life: Stem Cell Technology and Global Medical Exchange,Dr KA Cregan,APD
DP0342702,"Pelejero, C",UPTAKE OF ATMOSPHERIC CO2 IN THE OCEANS AND IMPLICATIONS FOR GLOBAL CHANGE: NEW PROXY DEVELOPMENTS,Dr C Pelejero,APD
DP0342739,"Skidmore, M","Violence, Religion and Well-being in Contemporary Burma (Myanmar): A Medical Anthropological Study of Everyday Life Under Dictatorship",Dr MM Skidmore,APD
DP0342740,"Golz, J",Genetic control of plant organ growth,Dr JF Golz,QEII
DP0342748,"Hurley, J",Virtual Star Clusters: The Dynamics and Evolution of Stars and Planets,Dr JR Hurley,APD
DP0342760,"Mackay, J",Characterization of erythroid differentiation related factor (EDRF): a novel a-globin binding protein,Dr DA Gell,APD
DP0342771,"Reid, G",Differential Expression Proteomics: Identification and Quantitation of Peptides and Proteins by Fixed Charge Derivatization and Tandem Mass Spectrometry,Dr GE Reid,APD
DP0342793,"Hudson, J",From Anxious Temperament to Disorder: The role of the parent- child interaction. ,Dr JL Hudson,APD
DP0342826,"Bowie, A",Targeting organically-complexed iron species in seawater using selective solid-phase adsorbent resins,Dr AR Bowie,APD
DP0342843,"Dortch, J",Late Pleistocene faunal change and the formation of fossil deposits: a taphonomic approach,Dr JC Dortch,APD
DP0342900,"Ostrovskaya, E",Nonlinear atom optics of Bose-Einstein condensates in optical lattices,Dr EA Ostrovskaya,APD
DP0342902,"Macdonald, D",Lifetime spectroscopy of impurities in silicon solar cells,Dr DH Macdonald,APD
DP0342945,"de Zubicaray, G",Testing the ghost with the machine: Empirical investigations of cognition using high-field functional magnetic resonance imaging,Dr GI de Zubicaray,APD
DP0342974,"Quiggin, J",Risk and Australian public policy,Prof JC Quiggin,APF
DP0342993,"Webley, P",Synthesis of novel microporous metallosilicate adsorbents ,Dr RA Singh,APD
DP0343037,"Moreton-Robinson, A",Black on White: Indigenous Social Constructions of Race,Dr A Moreton-Robinson,APD
DP0343042,"Eklund, P",Concept learning and Structure Formation for Document Navigation,Dr RJ Cole,APD
DP0343064,"Gruetzner, F",Solving the Mysteries of Monotreme Chromosomes,Dr FS Gruetzner,APD
DP0343152,"Bartlett, S",Optical realisations of continuous-variable quantum information,Dr SD Bartlett,APD
DP0343198,"Ridding, M",Afferent stimulation-induced plasticity and its functional significance,Dr MC Ridding,QEII
DP0343224,"Hassan, R",Time out of mind? Australians' experience of time in the network society ,Dr R Hassan,APD
DP0343240,"Evans, J",Female roles during postcopulatory sexual selection,Dr JP Evans,APD
DP0343249,"Munday, P",Early life-history sex determination in reef fishes,Dr PL Munday,ARF
DP0343279,"Elliman, R",The Physical and Optical Properties of Self-Assembled Si Nanocrystals,Ms TD Weijers,APD
DP0343282,"Sharifian, F",Cultural linguistics and intercultural discourse,Mr F Sharifian,APD
DP0343288,"Brady, M",Learning to Drink:a socio-cultural history of the introduction of alcohol to Indigenous Australians and a critique of existing explanations,Dr MA Brady,APD
DP0343302,"Kiefel, M",An Investigation of Novel Sialylmimetics as Inhibitors of Rotavirus,Dr F Chery,APD
DP0343325,"Witting, P",Biochemical properties of S-nitroso-myoglobin and its role in regulating nitric oxide bio-availability,Dr PK Witting,ARF
DP0343350,"Crozier, S",Advanced MRI Engineering,A/Prof S Crozier,APF
DP0343352,"Ohnishi, S",Friction and capillary forces,Dr S Ohnishi,QEII
DP0343368,"Pocock, B","Theoretical and policy implications of changing work/life patterns and preferences of Australian women, men and children, households and communities",Dr BA Pocock,QEII
DP0343373,"Morris, D",Analysing the roles of cospeciation and host-shifting in the evolution of behaviour and ecology of thrips associated with Australian Acacia,Dr DC Morris,APD
DP0343379,"Florey, M",Cross-linguistic study of endangered Maluku languages: Eastern Indonesia and the Dutch diaspora,Dr S Musgrave,APD
DP0343391,"Luiten, A",Creation of New Precision Optical and Microwave Technologies and their Application to Testing the Fundamental of Physics,A/Prof ME Tobar,APF
DP0343391,"Luiten, A",Creation of New Precision Optical and Microwave Technologies and their Application to Testing the Fundamental of Physics,Dr RP Kovacich,APD
DP0343406,"Wilson, C",The ins and outs of a Proterozoic supercontinent - what is the significance of 990-900 Ma orogenesis for the assembly of Rodinia?,Dr SD Boger,APD
