Project ID,Scheme,Submission Year,Commencement Year,Administering Organisation,State/ Territory,Investigators,Project Title,National/Community Benefit,Primary FoR/RFCD,Primary FoR/RFCD Description,Funding Award,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CE0561595,CE,2004,2005,University of Tasmania,Tas,Prof RR Large; A/Prof JB Gemmell; Prof AJ Crawford; Prof J McPhie; Prof SF Cox; Dr DR Cooke; Prof Dr G Garven; Dr JE Reid; Prof JC Macnae; Dr PK Fullagar; Dr R Tosdal; Prof MW Hitzman; Dr SG Walters; Prof Dr J Franzidis; Prof TJ Napier-Munn; Dr LV Danyush,ARC Centre of Excellence - in Ore Deposits,"Australia's minerals industry faces a two-fold challenge - to find new ore deposits and to mine them with maximum efficiency and minimal environmental impact. Those challenges demand a new generation of focussed ore deposit research, tailored specifically for the Australian context. The Centre of Excellence in Ore Deposits will provide the foundation of fundamental research required by a successful, efficient and sustainable Australian minerals industry. The Centre will also play a leading role in the undergraduate and postgraduate training of future geoscientists. The concentration of internationally recognised researchers in the Centre will ensure it maintains its premier position in the international ore deposit research arena.",2601,GEOLOGY,"$24,450,000",,,,"$1,500,000","$3,000,000","$3,000,000","$3,000,000","$3,000,000","$2,850,000","$2,700,000","$2,700,000","$2,700,000",,,,,
CE1101007,CE,2010,2011,The University of Adelaide,SA,Prof GB Fincher; Prof A Bacic; Dr RA Burton; Prof MJ Gidley; Prof V Bulone; Prof C Halpin; Dr VC Knauf; Dr P Schweizer; Prof CR Somerville; Dr SV Tingey; Prof R Waugh,ARC Centre of Excellence in Plant Cell Wall Biology,"The ARC Centre for Plant Cell Wall Biology will define the regulatory mechanisms that control molecular, enzymic and cellular processes involved in the synthesis, deposition, re-modelling and depolymerisation of cell wall polysaccharides of cereals and grasses. Plant cell walls represent the world's largest renewable carbon resource, but the regulatory mechanisms responsible for their synthesis and assembly are not understood. Key distinguishing features of the Centre will be the international, integrative, and multidisciplinary approach towards addressing major questions in plant biology, its strategy to leverage ARC funding, and its linkages with potential national and international end-users of the fundamental scientific discoveries.",0607,PLANT BIOLOGY,"$19,250,000",,,,,,,,,,"$2,750,000","$2,750,000","$2,750,000","$2,750,000","$2,750,000","$2,750,000","$2,750,000",
CE0561435,CE,2004,2005,James Cook University,Qld,Prof TP Hughes; Dr KR Anthony; Dr AH Baird; Prof DR Bellwood; Dr SR Connolly; Dr SG Dove; Dr M Fine; Prof C Folke; Dr MK Gagan; Prof O Hoegh-Guldberg; Dr MS Pratchett; Dr GP Jones; Prof RH Karlson; Prof MJ Kingsford; Dr JM Lough; Dr MI McCormick; Prof MT,ARC Centre of Excellence - Innovative science for sustainable management of coral reef biodiversity,"Our vision is to apply enabling technologies to capture the national benefit arising from research excellence. The Centre has enormous capacity to provide economic, cultural, environmental and social benefits for Australia. The coral reefs of Australia, particularly the Great Barrier Reef, Ningaloo Reef, and Lord Howe Island World Heritage Area are Australian national icons, of great economic, social, and aesthetic value to this country. In collaboration with our Partners, we will be the premier providers of the scientific expertise that underpins the management of Australian reefs, which is vital for the sustainable use of biodiversity goods and services (e.g. by the tourist industry, fisheries, and recreational users).",2707,ECOLOGY AND EVOLUTION,"$21,800,000",,,,"$1,200,000","$2,400,000","$2,400,000","$2,400,000","$2,400,000","$2,600,000","$2,800,000","$2,800,000","$2,800,000",,,,,
CE0561495,CE,2004,2005,The University of Western Australia,WA,A/Prof JM Whelan; Prof S Smith; Prof MR Badger; Dr ID Small; Dr AH Millar; Prof DA Day; Dr BJ Pogson,ARC Centre of Excellence -  In Plant Energy Biology (CPEB),"Plant cell metabolism underlies the synthesis of important products in crops, and subtle changes in metabolism can enhance germination rates, early seedling vigour, biomass/yield, and tolerance to harsh environments. Research in CPEB will focus on control of this metabolism. Its expertise will enhance Australia's participation in major international research efforts directly relevant to sustainable agriculture in a country with fragile/degrading ecosystems. The research will provide new approaches for enhancing quality metabolite traits important for human health. It will further strengthen our international leadership in plant energy science, and will strengthen Australia's research training in systems biology to influence plant function.",2704,BOTANY,"$22,300,000",,,,"$1,250,000","$2,500,000","$2,500,000","$2,500,000","$2,500,000","$2,650,000","$2,800,000","$2,800,000","$2,800,000",,,,,
CE0561607,CE,2004,2005,The University of Melbourne,Vic,Prof CH Schiesser; Prof CJ Easton; Prof L Radom; Prof JA Angus; Dr MJ Davies; Prof PJ Scammells; Dr RA O'Hair; Dr ML Coote; Dr SE Bottle; Dr U Wille; Prof WR Jackson; Dr MS Sherburn; Dr PJ Barker; Dr E Rizzardo; Prof B Jarrott; Mr CH Such; Adj/Prof PJ Rog,ARC Centre of Excellence - Centre for Free Radical Chemistry and Biotechnology,"Free radical chemistry is of increasing importance in the manufacture of improved plastics, paints and related materials, in helping restrict oxidative processes that can lead to adverse human health and also to the degradation of important industrial materials.  The research will contribute to promoting & maintaining good health by developing new methods for reducing the impacts of ageing as well as in the treatment of several life-threatening conditions such as stroke.  Industrial applications include better surface coatings for preserving metals, and additives to improve the quality and shelf life of beer and wines.",2503,ORGANIC CHEMISTRY,"$21,800,000",,,,"$1,200,000","$2,400,000","$2,400,000","$2,400,000","$2,400,000","$2,600,000","$2,800,000","$2,800,000","$2,800,000",,,,,
CE1101021,CE,2010,2011,Macquarie University,NSW,Prof S Crain; Prof G Rhodes; Prof J Hodges; E/Prof M Coltheart; Prof A Castles; A/Prof A Barnier; Dr J Brock; Prof B Byrne; Prof K Demuth; Dr M Green; Dr B Johnson; A/Prof R Langdon; Dr G McArthur; Dr L Miller; Prof L Nickels; Dr O Piguet; A/Prof G Savage,ARC Centre of Excellence in Cognition and its Disorders,"The ARC Centre of Excellence for Cognition and its Disorders will advance theory and research in three areas of cognitive science: models of cognitive disorders, the treatment of cognitive disorders, and the neural basis of cognition and its disorders. The Centre's research programs focus on five key domains of cognition, to be investigated individually and collectively: language, memory, person perception, belief formation and reading. The Centre's interdisciplinary research teams will tackle basic questions in cognitive science, and will implement intervention programs that will inform educational policy and practice, with considerable potential impact for the health and social well-being of Australia.",1799,OTHER PSYCHOLOGY AND COGNITIVE SCIENCES,"$21,000,000",,,,,,,,,,"$3,000,000","$3,000,000","$3,000,000","$3,000,000","$3,000,000","$3,000,000","$3,000,000",
CE1101020,CE,2010,2011,The University of Sydney,NSW,Prof B Gaensler; Prof LG Staveley-Smith; Prof S Wyithe; Prof M Bailes; Prof BP Schmidt; A/Prof SM Croom; Prof EM Sadler; Prof SJ Tingay; Prof RL Webster; Prof JR Mould; Prof WJ Couch; Prof FH Briggs; Prof BJ Boyle; Dr R Braun; Prof MM Colless; A/Prof AM H,ARC Centre of Excellence for All-sky Astrophysics,"The ARC Centre of Excellence for All-sky Astrophysics (CAASTRO) will establish Australia as a world-leader in the emerging discipline of wide-field astronomy. CAASTRO will answer fundamental questions about the nature of the Universe, develop innovative ways of processing enormous data-sets, and enable a diverse set of opportunities for students and early career researchers. By bringing Australia's top astronomers together into a focused collaboration, CAASTRO will cement Australia's reputation as an international leader in astrophysical research, will build unique expertise in wide-field radio and optical astronomy and will position Australia to lead the science programmes planned for the Square Kilometre Array.",0201,ASTRONOMICAL AND SPACE SCIENCES,"$20,600,000",,,,,,,,,,"$3,000,000","$2,800,000","$3,100,000","$3,100,000","$3,100,000","$2,800,000","$2,700,000",
CE1101028,CE,2010,2011,The University of New South Wales,NSW,Prof AJ Pitman; Prof C Jakob; Prof N Bindoff; Prof MH England; Prof D Karoly; A/Prof M Roderick; Dr L Alexander; Dr A Hogg; Dr D Dommenget; Prof A Lynch; Dr T Lane; Prof S Sherwood; Prof W Steffen; Dr P Strutton; Dr S Bony; Dr C Frederiksen; Dr W Grabowsk,ARC Centres of Excellence for Climate System Science,"Our capacity to assess the threat of climate change is undermined by an unacceptable level of uncertainty in the understanding and modelling of regional climates. The Centre will undertake world-class research targeting identified weaknesses in the physical, chemical and biological components of the climate system. We will engage and nurture graduate students and postdoctoral follows through a program of graduate training and mentoring to permanently transform our understanding of climate systems science particularly for the Australian region. The key outcome will be a dramatic enhancement in national capacity to understand and project the scale of future regional climate change.",0401,ATMOSPHERIC SCIENCES,"$21,400,000",,,,,,,,,,"$3,100,000","$3,100,000","$3,100,000","$3,100,000","$3,000,000","$3,000,000","$3,000,000",
CE1101018,CE,2010,2011,The University of Sydney,NSW,Prof BJ Eggleton; Prof Y Kivshar; Prof B Luther-Davies; Prof CM de Sterke; Prof M Gu; Prof AJ Lowery; Prof RC McPhedran; Dr BT Kuhlmey; Dr D Neshev; Dr SJ Madden; A/Prof MJ Withford; A/Prof MJ Steel; A/Prof JM Dawes; Prof LC Botten; Prof A Mitchell; Prof,ARC Centre of Excellence for Ultrahigh Bandwidth Devices for Optical Systems,"The Centre will take the next big step in optical systems by transforming photonic integrated circuits into a technology that will have a profound effect on economies and lifestyles around the world. This will enable the Internet to transfer vast amounts of data with significantly improved energy efficiency; it will lead to secure transmission using  quantum photonics-based devices, and to the detection of mid-infrared signatures of light from distant stars and complex  molecules of environmental or biochemical importance. We will achieve this by developing new materials with optical properties to control light and engineering them into miniature photonic processors.",0205,OPTICAL PHYSICS,"$23,800,000",,,,,,,,,,"$3,400,000","$3,400,000","$3,400,000","$3,400,000","$3,400,000","$3,400,000","$3,400,000",
CE1101013,CE,2010,2011,The University of Queensland,Qld,Prof GJ Milburn; Prof AG White; Dr A Doherty; Prof M Tobar; Prof J Twamley; Dr S Bartlett; Dr M Biercuk; Dr W Bowen; Dr G Brennen; Dr T Duty; Dr G Gilchrist; Dr G Molina-Terriza; Dr J Rabeau; Dr D Reilly; Prof H Rubinsztein-Dunlop; Dr T Stace; Prof G Vida,ARC Centre of Excellence for Engineered Quantum Systems,"The future of technology lies in controlling the quantum world. The ARC Centre of Excellence for Engineered Quantum Systems (EQuS) will deliver the building blocks of future quantum technologies and, critically, ensure Australian primacy in this endeavour. Three strategic research programs will target Quantum Measurement and Control; Synthetic Quantum Systems and Simulation; and Quantum-Enabled Sensors and Metrology. Within these programs, our Centre will exploit the deepest principles and resources of quantum physics to solve specific problems in engineering, chemistry biology and medicine, stimulating the Australian scientific and engineering communities to exploit (and benefit from) transformative quantum devices.",0204,CONDENSED MATTER PHYSICS,"$24,500,000",,,,,,,,,,"$3,500,000","$3,500,000","$3,500,000","$3,500,000","$3,500,000","$3,500,000","$3,500,000",
CE1101027,CE,2010,2011,The University of New South Wales,NSW,Prof MY Simmons; Prof LCL Hollenberg; Prof TC Ralph; Prof HM Wiseman; Prof PK Lam; Prof AS Dzurak; Prof S Rogge; Dr A Morello; Prof DN Jamieson; A/Prof GJ Pryde; Prof AG White; Dr MJ Sellars; Dr BC Buchler; Dr TNC Symul; Prof MR James; A/Prof EH Huntingto,ARC Centre of Excellence for Quantum Computation and Communication Technology,The Centre for Quantum Computation and Communication Technology will coordinate a large team of Australian researchers in an intensive mission. Our aim is to integrate a radical and uniquely powerful Australian computing technology with an ultra-secure Australian communications technology. Our success will drive global productivity gains in information processing and ensure that Australians own the pivotal underpinning intellectual property. Our technologies will provide Australia and its allies with the world's most secure information networks. Our discoveries will place Australia unequivocally at the very forefront of global research in quantum physics,0206,QUANTUM PHYSICS,"$24,500,000",,,,,,,,,,"$3,500,000","$3,500,000","$3,500,000","$3,500,000","$3,500,000","$3,500,000","$3,500,000",
CE1101004,CE,2010,2011,The University of Melbourne,Vic,Prof GN Taylor; Prof T Gherghetta; Prof AW Thomas; A/Prof KE Varvell; Dr BD Yabsley; Prof RR Volkas; Dr C Balazs; Dr A Mazumdar; Dr NF Bell; A/Prof E Barberio; A/Prof ME Sevior; Prof AG Williams; Dr RD Young; Dr A Limosani; Prof M Trodden; Prof MA Parker;,ARC Centre of Excellence for Particle Physics at the Tera-Scale,"The Large Hadron Collider, a gigantic particle accelerator at the CERN laboratory in Europe, has commenced operation. It will discover how particles gain mass, explore the identity of cosmological dark matter, and search for the new laws of physics needed for a satisfactory theory of the structure of matter. the Centre will provide the enhanced capability and institutional coordination and development needed for Australia to make a major contribution to this most prestigious international project. It will transform Australia's standing in fundamental physics, provide unsurpassed training, generate many linkages in science and technology, and lead an important public outreach program.",0202,"ATOMIC, MOLECULAR, NUCLEAR, PARTICLE AND PLASMA PHYSICS","$25,200,000",,,,,,,,,,"$3,600,000","$3,600,000","$3,600,000","$3,600,000","$3,600,000","$3,600,000","$3,600,000",
CE1101011,CE,2010,2011,The University of Western Australia,WA,Prof PC Maddern; Prof SM Broomhall; Prof RS White; Prof DF Lemmings; Prof JW Davidson; Prof SJ Trigg; Prof YA Haskell; A/Prof PJ Holbrook; Dr JF Ruys; Prof CF Zika; A/Prof JE Lilequist; Dr C Jarzebowski; Prof P Reynolds; Prof I Ghose; Dr GR Vaughan; Prof,ARC Centre of Excellence for the History of Emotions,"Emotions change over time; yet the long-term causes and consequences of changing emotional experiences and expressions remain largely unknown. This Centre will revolutionize research in the Humanities and Creative Arts by initiating innovative research collaborations across many disciplines to account for long-term changes and continuities in emotional regimes in Europe 1100-1800. For the first time we will fully analyse the social, cultural and political effects of mass emotional events. Links with cultural industry partners in art, drama and music will enable reflective performance research on communication of emotions, and illuminate the Western cultural foundations of emotions in modern Australia.",2005,LITERARY STUDIES,"$24,250,000",,,,,,,,,,"$3,750,000","$3,750,000","$3,650,000","$3,600,000","$3,750,000","$3,750,000","$2,000,000",
NCGRT,SR,2008,2009,Flinders University,SA,Prof C Simmons,Centre for Groundwater Research and Training,"Australia faces severe water shortages and is heavily dependent on groundwater for domestic,
agricultural and industrial water supplies with groundwater accounting for >30% of total water
consumption. A critical mass of internationally recognised scientists in groundwater research and
related disciplines, coupled with investment in research and training across the nation over five
years will provide policy makers with the knowledge to manage groundwater sustainably and
securely, and to better understand and maximize its value to the community, the environment
and industry. The Centre will also be responsible for training the next generation of groundwater
professionals critically needed to effectively manage this resource. The benefits of the research
and training will ultimately enhance the social, economic and environmental wellbeing of all
Australians.",2605,HYDROLOGY,"$15,000,000",,,,,,,,,,"$827,708","$6,907,917","$6,637,500","$626,875",,,,
NICTA,CoE,2001,2003,National ICT Australia,NSW,Prof B Anderson,Information and Communications Technology Centre of Excellence,"ICT is the dominant industry of our time and the engine room for commerce and economic growth in the Information Age. NICTA's mission is to help maximise the benefits of the ICT revolution for Australia and [its] four major goals have been carefully chosen to meet this ambitious objective. NICTA will focus on research at the highest international standard and scale, facilitate the commercialisation of research, enhance research training of R&D professionals in meeting the demands of both our university and research sector and industry, and forge mutually beneficial linkages with Australian and global public and private sector research organisations and major corporations, SMEs and public sector agencies directly related to the ICT industry as well as those that rely on ICT for their success.",,,"$279,987,000",,"$8,800,000","$12,000,000","$17,700,000","$24,000,000","$23,970,000","$24,449,000","$24,938,000","$25,437,000","$25,946,000","$25,000,000","$23,750,000","$22,563,000","$21,434,000",,,
DE130101000,DE,2012,2013,The University of Sydney,NSW,Dr Nicolas Epain,Next generation acoustic sensor arrays for super resolution imaging,"This project aims to develop a new type of acoustic lens that enhances incoherent sensing. This compressive acoustic sensing approach will achieve super-resolution imaging that is robust to noise. The technology has diverse applications including medical imaging, petroleum prospecting, sonar and acoustic holography and will lead to new technology for Australia.",0801,ARTIFICIAL INTELLIGENCE AND IMAGE PROCESSING,"$270,847",,,,,,,,,,,,"$92,322","$90,766","$87,759",,,
DE130100819,DE,2012,2013,The University of Queensland,Qld,Dr Leonardo Rojas-Nandayapa,Measuring the improbable: optimal Monte Carlo methods for rare event simulation of maxima of dependent random variables,"Some events occurring with low frequency can have dramatic consequences: natural catastrophes, economic crises, system malfunctions. Estimating their probabilities is a very difficult problem. This project will develop new simulation methods capable of delivering the most precise and efficient estimators for the probabilities of such events.",0104,STATISTICS,"$281,600",,,,,,,,,,,,"$93,500","$94,600","$93,500",,,
DE130100292,DE,2012,2013,The University of Melbourne,Vic,Dr Geoffrey Chu,Towards a stronger proof system for combinatorial optimisation,"Combinatorial optimisation problems such as staff rostering, vehicle routing or resource allocation are central to the efficiency of many businesses and industries. This project will improve optimisation technology by using the low-level structure of the problems to find better solutions. This will save time, money and reduce environmental impact.",0801,ARTIFICIAL INTELLIGENCE AND IMAGE PROCESSING,"$285,000",,,,,,,,,,,,"$95,000","$95,000","$95,000",,,
DE130101239,DE,2012,2013,The University of Adelaide,SA,Dr Arusyak Sevoyan,Improving migrant health: identifying and addressing the health needs of migrants in Australia,"The purpose of this study is to explore the social, economic and cultural factors affecting migrant health and understand how health disadvantages rise among migrants in Australia. The outcomes of the project are expected to help us better understand the health risks of migrants, therefore contributing to improving population health in Australia.",1603,DEMOGRAPHY,"$322,423",,,,,,,,,,,,"$96,340","$124,216","$101,867",,,
DE130101605,DE,2012,2013,The Australian National University,ACT,Dr Mark Reid,Composing machine learning via market mechanisms,"This project aims to better understand connections between learning algorithms and markets as aggregators of information and develop new, principled techniques for combining predictions. This will improve our ability to construct systems that make predictions based on multiple, complex and structured sources of data.",0801,ARTIFICIAL INTELLIGENCE AND IMAGE PROCESSING,"$289,000",,,,,,,,,,,,"$96,500","$96,500","$96,000",,,
DE130101505,DE,2012,2013,The Australian National University,ACT,Dr Ryan Walter,The rise of the national economic interest,"How did we come to think of economic welfare as an end in itself? This project examines the process by which wealth was disentangled from other national goals and the consequences, good and bad, of doing so.",1606,POLITICAL SCIENCE,"$319,630",,,,,,,,,,,,"$96,744","$114,172","$108,714",,,
