Project ID,Funding Completion Year,Project Leader,Project Title,Fellowship Recipient,Fellowship Type
DE120102368,2014,Boantza,The making of the modern chemist: struggles within Enlightenment science,Victor D Boantza,DECRA
DE120102369,2014,Licata,Higher representation theory,Anthony M Licata,DECRA
DE120102378,2014,Perfors,What shapes the structure of language? An experimental and computational investigation,Amy F Perfors,DECRA
DE120102388,2014,Vo,From Bayesian filtering to smoothing and prediction for multiple object systems,Ba Tuong Vo,DECRA
DE120102402,2014,Nassar,Nature and culture in German Romantic philosophy and environmental philosophy,Dalia Nassar,DECRA
DE120102428,2014,Steele,Securing the Australian city: the governance of critical infrastructure in climate change,Wendy E Steele,DECRA
DE120102451,2014,Falcaro,Spatial control of nanoporous materials for microfabrication,Paolo Falcaro,DECRA
DE120102459,2014,Harborne,"The effects of sea-level rise on the feeding ecology of coral-reef fishes in shallow water, and the implications for reef-flat food webs",Alastair R Harborne,DECRA
DE120102495,2014,He,"Creation, detection, and decoherence of a ""Schrödinger Cat""",Qiongyi He,DECRA
DE120102503,2014,Shiddiky,Circulating tumor cell isolation and detection: an integrated microfluidic capture device based on alternating current (AC) electrohydrodynamics,Muhammad J  A Shiddiky,DECRA
DE120102504,2014,Pickering,"Old stalagmites, new techniques: South African palaeoclimate records linked to early human evolution",Robyn Pickering,DECRA
DE120102530,2014,Sniderman,Are northern- and southern-hemisphere climates synchronised on orbital timescales? New insight into Earth's climate history,J.M. Kale Sniderman,DECRA
DE120102543,2014,Weber,Models of paradox in non-classical mereotopology,Zach Weber,DECRA
DE120102556,2014,White,The influence of crosstalk between protein post-translational modifications on the propagation of molecular signals,Melanie Y White,DECRA
DE120102571,2014,Morgan,Visualising living airways: a new x-ray technique to assess Cystic Fibrosis treatments,Kaye S Morgan,DECRA
DE120102575,2014,Telonis-Scott,Exploring new territory in climatic adaptation research: integrating molecular genetics with species' thermal tolerance limits,Marina Telonis-Scott,DECRA
DE120102580,2014,Hu,Water and carbon stable isotope exchange between the biosphere and atmosphere,Jia Hu,DECRA
DE120102588,2014,Laws,A fundamental approach to generating new classes of light-weight amorphous alloys based on liquid-metal structures,Kevin J Laws,DECRA
DE120102589,2014,Dong,"Monetary policy and models of money, credit and banking",Mei Dong,DECRA
DE120102593,2014,Birch,New household economics and the earnings and labour supply of Indigenous Australians,Elisa R Birch,DECRA
DE120102601,2014,Csaji,Distribution-free system identification: building models from experimental data under minimal statistical assumptions,Balazs C Csaji,DECRA
DE120102604,2014,Ricci,"The Sri Lankan Malays: Islam, literature, and Diaspora across the Indian Ocean",Ronit Ricci,DECRA
DE120102610,2014,Lauro,The role of deep-sea microorganisms in nutrient cycling in the Southern Ocean,Federico Lauro,DECRA
DE120102614,2014,Madin,Monitoring coral reef health from space: how herbivore behaviour alters reef structure,Elizabeth M Madin,DECRA
DE120102630,2014,Matthews,The neurological correlates of periodic breathing in insects,Philip G Matthews,DECRA
DE120102640,2014,Carbajal,Behavioural foundations of economic design for an uncertain world,Juan C Carbajal,DECRA
DE120102644,2014,Glaum,Fatigue degradation in lead-free piezoelectric ceramics: the key factor for successful industrial implementation,Julia Glaum,DECRA
DE120102645,2014,Kidston,The cause of the poleward shift of Earth's storm tracks and jet streams,Joseph Kidston,DECRA
DE120102657,2014,Hekmati,Group actions and K-theory: a new direction,Pedram Hekmati,DECRA
DE120102664,2014,Xia,A micro-compression study of aluminium alloys: establishing the nanoscale mechanisms of precipitate-induced strengthening to achieve stronger alloys,Junhai Xia,DECRA
DE120102673,2014,Jackson,F420-Reductases from mycobacteria: new opportunities for health care and environmental protection,Colin J Jackson,DECRA
DE120102687,2014,New,Development of sensors for biological redox state,Elizabeth J New,DECRA
DE120102763,2014,Hyland,The contribution of histone post-translational modifications to eukaryotic evolution,Edel M Hyland,DECRA
