GRANT_ID,GRANT_ROLE,DW_INDIVIDUAL_ID,SOURCE_INDIVIDUAL_ID,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,FULL_NAME,ROLE_START_DATE,ROLE_END_DATE,SOURCE_SYSTEM
1056569,CIC,5046705,5046705,Dr,Dirk,,Lorenser,Dr Dirk Lorenser,1-Jan-13,30-Jun-13,RGMS
1056667,CIA,5046706,5046706,Dr,Pasquale,Mario,Barbaro,Dr Pasquale Barbaro,1-Jan-13,31-Dec-15,RGMS
1067703,CIG,5046708,5046708,Dr,Hossein,,Haji Ali Afzali,Dr Hossein Haji Ali Afzali,1-Dec-13,30-Nov-16,RGMS
1056277,CID,5046718,5046718,Prof,Gennaro,,De Libero,Prof Gennaro De Libero,1-Jan-13,31-Dec-15,RGMS
1056401,CID,5046730,5046730,A/Pr,Paul,Anthony,Macary,A/Pr Paul Macary,1-Jan-13,31-Dec-15,RGMS
1055793,CIC,5046731,5046731,A/Pr,Veronika,,Von Messling,A/Pr Veronika Von Messling,1-Jan-13,31-Dec-15,RGMS
1056756,CIF,5046739,5046739,Dr,Bronwyn,Anne,Morris,Dr Bronwyn Morris,1-Apr-13,31-Mar-17,RGMS
1056689,CIE,5046747,5046747,Dr,Maxine,,Caws,Dr Maxine Caws,1-Jan-13,31-Dec-15,RGMS
1055793,CIB,5046761,5046761,Dr,Sebastian,,Maurer-Stroh,Dr Sebastian Maurer-Stroh,1-Jan-13,31-Dec-15,RGMS
1056684,CIH,5046784,5046784,Dr,Renee,Noelene,Carey,Dr Renee Carey,1-Apr-13,31-Mar-16,RGMS
1059665,CID,5046786,5046786,Dr,Guillermo,Hugo,Lopez Campos,Dr Guillermo Lopez Campos,1-Jan-14,31-Dec-16,RGMS
1069535,CIA,5046817,5046817,Dr,Susan,Margot,Peters,Dr Susan Peters,1-Jan-14,31-Dec-16,RGMS
1056684,CIE,5046817,5046817,Dr,Susan,Margot,Peters,Dr Susan Peters,1-Apr-13,31-Mar-16,RGMS
1056756,CIC,5046833,5046833,A/Pr,Lee,M,Ritterband,A/Pr Lee Ritterband,1-Apr-13,31-Mar-17,RGMS
1074296,CID,5046849,5046849,Dr,Melanie,,Oey,Dr Melanie Oey,1-Jan-14,31-Dec-16,RGMS
1056799,CID,5046872,5046872,Ms,Susan,,Casey,Ms Susan Casey,1-Apr-13,31-Mar-17,RGMS
1064061,CIJ,5046872,5046872,Ms,Susan,,Casey,Ms Susan Casey,1-Jan-14,31-Dec-17,RGMS
1056888,CIG,5046875,5046875,Dr,Alyssa,,Sawyer,Dr Alyssa Sawyer,1-Apr-13,31-Mar-16,RGMS
1067241,CIA,5046878,5046878,Dr,Jai,Justin,Tree,Dr Jai Tree,1-Jan-14,31-Dec-16,RGMS
1056856,CIJ,5046879,5046879,A/Pr,Dian,,Tjondronegoro,A/Pr Dian Tjondronegoro,1-Apr-13,31-Mar-16,RGMS
1069999,CIA,5046882,5046882,Dr,Hamish,,Innes-Brown,Dr Hamish Innes-Brown,1-Jan-14,31-Dec-17,RGMS
1056878,CID,5046884,5046884,Dr,Caroline,,Moul,Dr Caroline Moul,1-Apr-13,31-Mar-18,RGMS
1072137,CIA,5046913,5046913,Dr,Jenni,Susanna,Ilomaki,Dr Jenni Ilomaki,2-Mar-14,1-Mar-18,RGMS
1076777,CIB,5046963,5046963,Dr,Katherine,Elizabeth,Harding,Dr Katherine Harding,1-Jun-14,31-May-18,RGMS
1060673,CIE,5046988,5046988,Dr,Kyla,Maree,Brown,Dr Kyla Brown,1-Jan-14,31-Dec-18,RGMS
1075608,CIA,5046992,5046992,Mr,Sean,Matthew,Taylor,Mr Sean Taylor,1-Jan-14,31-Dec-16,RGMS
1065649,CIC,5047012,5047012,Dr,Vasant,,Hirani,Dr Vasant Hirani,1-Jan-14,31-Dec-15,RGMS
1070931,CIA,5047013,5047013,Dr,Caryn,Patrice,West,Dr Caryn West,1-Jan-14,31-Dec-17,RGMS
1071889,CIA,5047017,5047017,Dr,Sandra,Kaye,Campbell,Dr Sandra Campbell,4-Feb-14,3-Feb-18,RGMS
1030147,CIB,5047023,5047023,Dr,Rohit,,Jain,Dr Rohit Jain,9-Nov-12,31-Dec-14,RGMS
1057047,CIE,5047041,5047041,Dr,Moya,Anne,Pattie,Dr Moya Pattie,1-Sep-13,31-Aug-18,RGMS
1070112,CIA,5047059,5047059,Miss,Sarah,Quynh Giao,To,Miss Sarah To,1-Aug-14,31-Jul-18,RGMS
1065053,CIB,5047061,5047061,Prof,Andras,,Nagy,Prof Andras Nagy,1-Jan-14,31-Dec-16,RGMS
1067222,CIA,5047072,5047072,Dr,Emily,,Eriksson,Dr Emily Eriksson,1-Jan-14,31-Dec-16,RGMS
1057362,CIH,5047082,5047082,Dr,Virginia,Anne,Dickson-Swift,Dr Virginia Dickson-Swift,1-Sep-13,31-Aug-16,RGMS
1064582,CID,5047089,5047089,Dr,Phillip,Edward,Melton,Dr Phillip Melton,1-Jan-14,31-Dec-16,RGMS
1057362,CID,5047097,5047097,A/Pr,Amanda,Jane,Kenny,A/Pr Amanda Kenny,1-Sep-13,31-Aug-16,RGMS
1076006,CIG,5047101,5047101,Dr,Lisa,,Hall,Dr Lisa Hall,1-Jan-14,31-Dec-16,RGMS
1069370,CIA,5048109,5048109,Dr,Makrina,,Totsika,Dr Makrina Totsika,1-Jan-14,31-Dec-16,RGMS
1061785,CIC,5048113,5048113,Dr,Shounan,,Yi,Dr Shounan Yi,1-Jan-14,31-Dec-16,RGMS
1061868,CID,5048113,5048113,Dr,Shounan,,Yi,Dr Shounan Yi,1-Jan-14,31-Dec-18,RGMS
1064231,CIA,5048123,5048123,Dr,Sean,Wendell,Cain,Dr Sean Cain,1-Jan-14,31-Dec-16,RGMS
1071293,CIA,5048139,5048139,Dr,Evelyne,,Deplazes,Dr Evelyne Deplazes,1-Jan-14,31-Dec-17,RGMS
1010489,CIB,5048164,5048164,Dr,Guillermo,Alberto,Gomez,Dr Guillermo Gomez,1-Jan-13,31-Dec-13,RGMS
1067405,CIC,5048164,5048164,Dr,Guillermo,Alberto,Gomez,Dr Guillermo Gomez,1-Jan-14,31-Dec-16,RGMS
1023454,CID,5048180,5048180,Dr,Ajithkumar,,Vasanthakumar,Dr Ajithkumar Vasanthakumar,17-Jan-13,31-Dec-14,RGMS
1059760,CIB,5048185,5048185,Prof,Neil,,Rees,Prof Neil Rees,1-Jan-14,31-Dec-16,RGMS
1059165,CIE,5048192,5048192,Dr,Agnes,Siew Mee,Yong,Dr Agnes Yong,1-Jan-14,31-Dec-17,RGMS
1060225,CIB,5048199,5048199,Dr,Sonia,,Troeira Henriques,Dr Sonia Troeira Henriques,1-Jan-14,31-Dec-16,RGMS
1060199,CIB,5048229,5048229,Prof,Niko,,Beerenwinkel,Prof Niko Beerenwinkel,1-Jan-14,31-Dec-16,RGMS
1066896,CIA,5048232,5048232,Dr,Tin,S,Kyaw,Dr Tin Kyaw,1-Jan-14,31-Dec-16,RGMS
1058233,CIB,5048257,5048257,Prof,Michael,A,Weiss,Prof Michael Weiss,1-Jan-14,31-Dec-16,RGMS
1067353,CIA,5048264,5048264,Dr,Paul,,Breen,Dr Paul Breen,1-Jan-14,31-Dec-16,RGMS
1074335,CIA,5048284,5048284,Ms,Kate,,Cantwell,Ms Kate Cantwell,1-Jan-14,28-Feb-15,RGMS
1065106,CIB,5048291,5048291,A/Pr,Hendrik,,Poinar,A/Pr Hendrik Poinar,1-Jan-14,31-Dec-16,RGMS
1059550,CIH,5048294,5048294,Prof,Ilona,,Koupil,Prof Ilona Koupil,15-Sep-14,14-Sep-17,RGMS
1061681,CIB,5048309,5048309,Prof,Frederick,,Hecht,Prof Frederick Hecht,1-Jan-14,31-Dec-17,RGMS
1065405,CIC,5048334,5048334,A/Pr,Nicolas,Caesar,Petersen,A/Pr Nicolas Petersen,1-Jan-14,31-Dec-16,RGMS
1057883,CIB,5048352,5048352,Dr,Urs,,Meyer,Dr Urs Meyer,1-Jan-14,31-Dec-16,RGMS
1063356,CIE,5049108,5049108,Dr,Hongshi,,Yu,Dr Hongshi Yu,1-Jan-14,31-Dec-16,RGMS
1057047,CIC,5049120,5049120,Ms,Melissa,Deleece,Lawrie,Ms Melissa Lawrie,1-Sep-13,31-Aug-18,RGMS
1065626,CIC,5049122,5049122,Dr,Gregor,Klaus-Peter,Ebert,Dr Gregor Ebert,1-Jan-14,31-Dec-17,RGMS
1072151,CIA,5049128,5049128,Dr,Michael,John,Roche,Dr Michael Roche,17-Feb-14,16-Feb-18,RGMS
1060187,CIC,5049131,5049131,Dr,Rebekah,,Mcwhirter,Dr Rebekah Mcwhirter,1-Jan-14,31-Dec-16,RGMS
1066966,CIB,5049135,5049135,Prof,Pablo,Manuel,Lavados,Prof Pablo Lavados,1-Jan-14,30-Jun-14,RGMS
1066966,CIC,5049135,5049135,Prof,Pablo,Manuel,Lavados,Prof Pablo Lavados,1-Jul-14,31-Dec-16,RGMS
1063400,CIA,5049150,5049150,Dr,Claire,E,Mccoy,Dr Claire Mccoy,1-Mar-15,28-Feb-18,RGMS
1065352,CIC,5049156,5049156,Prof,Kenneth,John,Rockwood,Prof Kenneth Rockwood,1-Jan-14,31-Dec-16,RGMS
1059775,CIA,5049170,5049170,Prof,Yaoqi,,Zhou,Prof Yaoqi Zhou,1-Jan-14,31-Dec-16,RGMS
1071124,CIA,5049172,5049172,Dr,Tomas,,Kalincik,Dr Tomas Kalincik,1-Feb-14,31-Jan-15,RGMS
1059711,CIB,5049178,5049178,A/Pr,Karen,Ann,Lillycrop,A/Pr Karen Lillycrop,1-Jan-14,31-Dec-16,RGMS
1068040,CIB,5049179,5049179,Dr,James,,Harris,Dr James Harris,1-Jan-14,31-Dec-16,RGMS
1066550,CIC,5049183,5049183,Prof,Kenneth,John,O'Byrne,Prof Kenneth O'Byrne,1-Jan-14,31-Dec-16,RGMS
1058897,CIB,5049208,5049208,Prof,Chris,,Marine,Prof Chris Marine,1-Apr-14,31-Mar-17,RGMS
1059711,CIH,5049216,5049216,Prof,Keith,,Godfrey,Prof Keith Godfrey,1-Jan-14,31-Dec-16,RGMS
1075773,CIB,5049219,5049219,Dr,Erol,,Harvey,Dr Erol Harvey,5-Jan-15,4-Jan-18,RGMS
1061006,CIC,5049238,5049238,Dr,Esmaeil,,Ebrahimie,Dr Esmaeil Ebrahimie,1-Jan-14,31-Dec-16,RGMS
1060471,CIH,5049250,5049250,Ms,Natasha,Louise,Pavlin,Ms Natasha Pavlin,1-Sep-13,31-Aug-18,RGMS
1060673,CIB,5049259,5049259,Dr,Ian,Indrik,Kneebone,Dr Ian Kneebone,1-Jan-14,31-Dec-18,RGMS
1060187,CIH,5049272,5049272,Dr,Peter,,Markey,Dr Peter Markey,1-Jan-14,31-Dec-16,RGMS
1063458,CIE,5049277,5049277,Dr,Faran,,Sabeti,Dr Faran Sabeti,1-Jan-14,31-Dec-16,RGMS
1063986,CIC,5049285,5049285,Prof,Peter,,Hoskins,Prof Peter Hoskins,1-Jan-14,31-Dec-17,RGMS
1065908,CIE,5049289,5049289,A/Pr,Sebastiaan,,Van Hal,A/Pr Sebastiaan Van Hal,1-Jan-14,31-Dec-16,RGMS
1070140,CIA,5049297,5049297,Dr,Monica,Jane,Barratt,Dr Monica Barratt,1-Jan-14,31-Dec-17,RGMS
1068890,CIB,5049300,5049300,Dr,Laurence,,Macia,Dr Laurence Macia,1-Jan-14,31-Dec-16,RGMS
1070421,CIA,5049303,5049303,Dr,Luke,Edward,Grzeskowiak,Dr Luke Grzeskowiak,1-Jan-14,31-Dec-17,RGMS
1065892,CIF,5049305,5049305,Dr,Kate,,Simms,Dr Kate Simms,1-Jan-14,31-Dec-16,RGMS
1071922,CIA,5049339,5049339,Dr,David,,Savage,Dr David Savage,1-Jan-14,31-Dec-17,RGMS
1066966,CIF,5049342,5049342,Prof,Thompson,Gordon,Robinson,Prof Thompson Robinson,1-Jul-14,31-Dec-16,RGMS
1066966,CIE,5049342,5049342,Prof,Thompson,Gordon,Robinson,Prof Thompson Robinson,1-Jan-14,30-Jun-14,RGMS
1062022,CIB,5049345,5049345,Dr,Charuta,Dinesh,Dagia,Dr Charuta Dagia,1-Jan-14,31-Dec-16,RGMS
1068510,CIC,5049346,5049346,Dr,Antoine,,Leimgruber,Dr Antoine Leimgruber,1-Jan-14,31-Dec-16,RGMS
1076006,CIJ,5050105,5050105,Dr,Katie,Michelle,Page,Dr Katie Page,1-Jan-14,31-Dec-16,RGMS
1059394,CIB,5050114,5050114,Prof,Benhur,,Lee,Prof Benhur Lee,1-Jan-14,31-Dec-16,RGMS
1044400,CIE,5050116,5050116,A/Pr,John,,Reynolds,A/Pr John Reynolds,9-Mar-14,31-Dec-15,RGMS
1076861,CIH,5050116,5050116,A/Pr,John,,Reynolds,A/Pr John Reynolds,27-Oct-14,26-Oct-18,RGMS
1061681,CIA,5050120,5050120,A/Pr,Sarah,,Palmer,A/Pr Sarah Palmer,1-Jan-14,31-Dec-17,RGMS
1058827,CIF,5050137,5050137,Dr,Michelle,Marie,Wiest,Dr Michelle Wiest,1-Jan-14,31-Dec-17,RGMS
1057888,CIB,5050139,5050139,Dr,Sabrina,,Mühlen,Dr Sabrina Mühlen,1-Jan-14,31-Dec-16,RGMS
1059760,CIF,5050153,5050153,Dr,Nicholas,,Zdenkowski,Dr Nicholas Zdenkowski,1-Jan-14,31-Dec-16,RGMS
1064005,CIA,5050173,5050173,Dr,Anchit,,Khanna,Dr Anchit Khanna,1-Jan-14,31-Dec-14,RGMS
1062653,CIA,5050175,5050175,Dr,Sandy,,Shultz,Dr Sandy Shultz,1-Jan-14,31-Dec-16,RGMS
1058672,CIB,5050177,5050177,Prof,Stefan,Friedrich,Lichtenthaler,Prof Stefan Lichtenthaler,1-Jan-14,31-Dec-16,RGMS
1061767,CIE,5050184,5050184,Dr,Armando,,Teixeira-Pinto,Dr Armando Teixeira-Pinto,1-Jan-14,31-Dec-16,RGMS
1057854,CIB,5050189,5050189,Dr,Johannes,Ekkehart,Zuber,Dr Johannes Zuber,1-Jan-14,31-Dec-16,RGMS
1065410,CIA,5050193,5050193,Dr,Denise,Laura,Wootten,Dr Denise Wootten,1-Jan-14,31-Dec-16,RGMS
1061044,CIC,5050193,5050193,Dr,Denise,Laura,Wootten,Dr Denise Wootten,1-Jan-14,31-Dec-16,RGMS
1057968,CIC,5050209,5050209,Dr,Jennifer,Flavia,Delima,Dr Jennifer Delima,1-Jan-14,31-Dec-17,RGMS
1061044,CIB,5050214,5050214,Prof,Brian,,Kobilka,Prof Brian Kobilka,1-Jan-14,31-Dec-16,RGMS
1073603,CIA,5050220,5050220,Mr,Jonathan,,Mangum,Mr Jonathan Mangum,30-Jun-14,30-Jun-18,RGMS
1058779,CIB,5050223,5050223,Dr,Adolfo,,Saiardi,Dr Adolfo Saiardi,1-Jan-14,31-Dec-16,RGMS
1075773,CIC,5050229,5050229,Prof,Arthur,James,Lowery,Prof Arthur Lowery,5-Jan-15,4-Jan-18,RGMS
1060895,CIC,5050233,5050233,Prof,Peter,John Francis,Henderson,Prof Peter Henderson,1-Jan-14,31-Dec-16,RGMS
1062510,CIA,5050234,5050234,Dr,Irina,,Voineagu,Dr Irina Voineagu,1-Jan-14,31-Dec-16,RGMS
1068056,CIB,5050253,5050253,Dr,David,Arthur,Stroud,Dr David Stroud,1-Jan-14,31-Dec-16,RGMS
1070916,CIA,5050253,5050253,Dr,David,Arthur,Stroud,Dr David Stroud,1-Jan-14,31-Dec-17,RGMS
1059562,CIE,5050256,5050256,Dr,Ian,,Li,Dr Ian Li,1-Jan-14,31-Dec-16,RGMS
1074547,CIA,5050287,5050287,Dr,Philip,Neil,Britton,Dr Philip Britton,1-Jan-14,30-Jun-16,RGMS
1064440,CIC,5050304,5050304,Dr,Iulia,,Oancea,Dr Iulia Oancea,1-Jan-14,31-Dec-16,RGMS
1065892,CIE,5050306,5050306,Dr,Michael,,Caruana,Dr Michael Caruana,1-Jan-14,31-Dec-16,RGMS
1063986,CIB,5050309,5050309,Prof,David,,Newby,Prof David Newby,1-Jan-14,31-Dec-17,RGMS
1060515,CIB,5050320,5050320,A/Pr,Noam,,Zelcer,A/Pr Noam Zelcer,1-Jan-14,31-Dec-16,RGMS
1063905,CID,5050348,5050348,Dr,Megan,Louise,Gilliver,Dr Megan Gilliver,1-Jan-14,31-Dec-16,RGMS
1068442,CIC,5051108,5051108,Dr,Connie,Hoi Yee,Wong,Dr Connie Wong,1-Jan-14,31-Dec-16,RGMS
1064061,CIC,5051109,5051109,Dr,Rebecca,Louise,Giallo,Dr Rebecca Giallo,1-Jan-14,31-Dec-17,RGMS
1066966,CIH,5051115,5051115,Dr,Veronica,V,Olavarria,Dr Veronica Olavarria,1-Jan-14,31-Dec-16,RGMS
1077138,CIE,5051124,5051124,Dr,Ricardo,Jorge,Soares Magalhaes,Dr Ricardo Soares Magalhaes,1-Jun-14,31-May-17,RGMS
1063781,CIA,5051136,5051136,Dr,Michael,,Lazarou,Dr Michael Lazarou,30-Jun-14,29-Jun-17,RGMS
1060696,CID,5051138,5051138,Dr,Elizabeth,Jane,O'Brien,Dr Elizabeth O'Brien,1-Sep-13,31-Aug-15,RGMS
1057411,CIG,5051158,5051158,Dr,Dominique,,Bird,Dr Dominique Bird,1-Sep-13,31-Aug-16,RGMS
1067113,CIB,5051178,5051178,Dr,Willem,Joost,Lesterhuis,Dr Willem Lesterhuis,1-Jan-14,31-Dec-16,RGMS
1061241,CIC,5051191,5051191,Dr,Mitali,,Sarkar-Tyson,Dr Mitali Sarkar-Tyson,1-Jan-14,31-Dec-16,RGMS
1058639,CID,5051194,5051194,Dr,Nicholas,Steven,Ward,Dr Nicholas Ward,1-Jan-14,31-Dec-17,RGMS
1066966,CIE,5051195,5051195,Prof,Caroline,,Watkins,Prof Caroline Watkins,1-Jul-14,31-Dec-16,RGMS
1066966,CID,5051195,5051195,Prof,Caroline,,Watkins,Prof Caroline Watkins,1-Jan-14,30-Jun-14,RGMS
1059711,CIC,5051197,5051197,A/Pr,Graham,,Burdge,A/Pr Graham Burdge,1-Jan-14,31-Dec-16,RGMS
1063046,CID,5051235,5051235,Dr,Paul,Brendan,Matteucci,Dr Paul Matteucci,1-Jan-14,31-Dec-16,RGMS
1064582,CIC,5051237,5051237,Dr,Nina,Siobhan,Mccarthy,Dr Nina Mccarthy,1-Jan-14,31-Dec-16,RGMS
1063476,CIB,5051238,5051238,Dr,Margaret,Ann,Cunningham,Dr Margaret Cunningham,1-Jan-14,1-Jan-14,RGMS
1060610,CIB,5051253,5051253,A/Pr,Nicholas,,Priebe,A/Pr Nicholas Priebe,1-Jan-14,31-Dec-16,RGMS
1059858,CIF,5051260,5051260,Dr,Thomas,,Urban,Dr Thomas Urban,1-Jan-14,31-Dec-16,RGMS
1061772,CID,5051287,5051287,Dr,Elke,,Brauer-Krisch,Dr Elke Brauer-Krisch,1-Jan-14,31-Dec-16,RGMS
1063986,CIA,5051294,5051294,Dr,Barry,,Doyle,Dr Barry Doyle,1-Jan-14,31-Dec-17,RGMS
1060768,CID,5051307,5051307,Prof,Nicholas,,Thomson,Prof Nicholas Thomson,1-Jan-14,31-Dec-16,RGMS
1062267,CIB,5051309,5051309,Dr,Daniel,W,Mcvicar,Dr Daniel Mcvicar,1-Jan-14,31-Dec-16,RGMS
1065854,CIC,5051321,5051321,Dr,Clare,Louise,Whitehead,Dr Clare Whitehead,1-Jan-14,31-Dec-16,RGMS
1074374,CIA,5051335,5051335,Dr,Jason,Jiat Shern,Ong,Dr Jason Ong,1-Jan-14,30-Jun-15,RGMS
1065117,CIC,5051336,5051336,A/Pr,Andrew,,Kung,A/Pr Andrew Kung,1-Jan-14,31-Dec-16,RGMS
1070689,CIB,5051352,5051352,Prof,Michael,D.,Slater,Prof Michael Slater,1-Jan-14,31-Dec-16,RGMS
